"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","day1$population","diff1","diff2","diff3","diff4","diff5","averages"
"42","City of La Puente, CA",42,34.031415,-117.93647,24668,25093,25287,25363,25589,25852,40697,1.01722879844333,1.00773123978799,1.00300549689564,1.00891061782912,1.01027785376529,0.00943080134427299
"43","City of La Verne, CA",43,34.10084,-117.76784,20687,21186,21402,21585,21820,22003,33282,1.02412142891671,1.01019541206457,1.00855060274741,1.01088719017836,1.00838680109991,0.0124282870013923
"44","City of Lakewood, CA",44,33.8536,-118.134,23884,24497,24696,24818,25113,25345,80362,1.02566571763524,1.00812344368698,1.0049400712666,1.01188653396728,1.009238243141,0.0119708019394211
"45","City of Lancaster, CA",45,34.713292,-118.15292,20447,21011,21274,21420,21765,22024,161570,1.02758350858317,1.01251725286755,1.00686283726615,1.01610644257703,1.01189983919136,0.0149939760970503
"46","City of Lawndale, CA",46,33.88856,-118.351813,21783,22178,22318,22482,22743,22874,33614,1.01813340678511,1.00631256199838,1.00734832870329,1.01160928742994,1.00576001407026,0.00983271979739619
"47","City of Lomita, CA",47,33.79224,-118.31507,20527,21019,21270,21371,21689,21853,20729,1.0239684318215,1.01194157666873,1.00474847202633,1.01487997753966,1.00756143667297,0.012619978945837
"48","City of Lynwood, CA",48,33.924538,-118.202954,28998,29518,29751,29807,30075,30319,72047,1.01793227119112,1.00789348871875,1.00188228967094,1.00899117656926,1.00811305070657,0.00896245537132589
"49","City of Malibu, CA",49,34.039034,-118.707992,29203,29751,29944,30129,30538,30816,12961,1.01876519535664,1.00648717690162,1.00617819930537,1.01357496100103,1.00910341214225,0.0108217889413813
"50","City of Manhattan Beach, CA",50,33.889151,-118.402127,26715,27709,28015,28295,28567,28704,35999,1.03720756129515,1.01104334331806,1.0099946457255,1.00961300583142,1.00479574334022,0.0145308599020697
"51","City of Maywood, CA",51,33.988463,-118.187376,27562,28008,28208,28322,28725,29256,28049,1.01618169944126,1.00714081690945,1.00404140669314,1.0142292211002,1.01848563968668,0.0120157567661481
"52","City of Monrovia, CA",52,34.1528,-118.000482,24526,25082,25302,25559,25840,26106,38800,1.02266981978309,1.0087712303644,1.0101572998182,1.01099417035095,1.01029411764706,0.0125773275927399
"53","City of Montebello, CA",53,34.00946,-118.10535,29763,30391,30635,30818,31164,31464,64375,1.02110002351913,1.00802869270508,1.00597355965399,1.01122720488026,1.00962649210628,0.0111911945729488
"54","City of Monterey Park, CA",54,34.052922,-118.143465,22969,23440,23652,23873,24148,24374,62262,1.02050589925552,1.00904436860068,1.00934381870455,1.011519289574,1.00935895312241,0.0119544658514317
"55","City of Norwalk, CA",55,33.906763,-118.076549,25424,25977,26195,26273,26552,26811,107622,1.02175110132159,1.00839203911152,1.0029776674938,1.01061926692802,1.00975444410967,0.0106989037929202
"56","City of Palmdale, CA",56,34.408383,-118.123597,22864,23435,23720,23895,24268,24558,158968,1.02497375787264,1.01216129720504,1.00737774030354,1.01560996024273,1.01194989286303,0.0144145296973945
"57","City of Palos Verdes Estates, CA",57,33.800571,-118.390074,18466,18976,19161,19287,19465,19679,13522,1.02761832557132,1.00974915682968,1.00657585720996,1.00922901436201,1.01099409195993,0.0128332891865783
"58","City of Paramount, CA",58,33.899015,-118.165152,27987,28490,28708,28835,29129,29377,56023,1.01797263014971,1.00765180765181,1.00442385397799,1.01019594243107,1.00851385217481,0.00975161727707752
"59","City of Pico Rivera, CA",59,33.985812,-118.088787,27953,28485,28707,28845,29150,29438,64284,1.01903194648159,1.00779357556609,1.004807189884,1.01057375628358,1.00987993138937,0.0104172799209263
"60","City of Pomona, CA",60,34.042286,-117.756106,25877,26427,26677,26811,27087,27274,155931,1.02125439579549,1.00946002194725,1.00502305356674,1.01029428219761,1.00690368073245,0.0105870868479097
"61","City of Rancho Palos Verdes, CA",61,33.753146,-118.367459,17646,18100,18308,18399,18572,18684,42747,1.02572821035929,1.01149171270718,1.0049705046974,1.00940268492853,1.00603058367435,0.0115247392733495
"62","City of Redondo Beach, CA",62,33.830006,-118.387124,23561,24173,24419,24640,24936,25077,68697,1.02597512839014,1.01017664336243,1.00905032966133,1.01201298701299,1.00565447545717,0.0125739127768103
"63","City of Rolling Hills, CA",63,33.756962,-118.353961,18402,18814,18969,19072,19175,19433,1940,1.02238887077492,1.00823854576379,1.00542991196162,1.00540058724832,1.01345501955671,0.0109825870610734
"64","City of Rolling Hills Estates, CA",64,33.787794,-118.358128,20436,20818,21003,21016,21250,21447,8113,1.01869250342533,1.0088865404938,1.00061895919631,1.01113437381043,1.00927058823529,0.00972059303223216
"65","City of Rosemead, CA",65,34.065493,-118.084529,20322,20701,20903,21073,21212,21406,55350,1.0186497391989,1.00975798270615,1.00813280390375,1.00659611825559,1.00914576654724,0.0104564821223236
"66","City of San Dimas, CA",66,34.10668,-117.80673,23279,23945,24212,24342,24531,24771,34516,1.02860947635208,1.01115055335143,1.00536923839418,1.00776435789993,1.0097835391953,0.0125354330385845
"67","City of San Fernando, CA",67,34.2819,-118.439,33797,34629,34869,35300,35747,36263,24612,1.02461756960677,1.00693060729446,1.01236054948522,1.01266288951841,1.01443477774359,0.0142012787296901
"68","City of San Gabriel, CA",68,34.114772,-118.089431,22999,23417,23639,23900,24151,24291,40954,1.01817470324797,1.00948029209549,1.01104107618766,1.01050209205021,1.00579686141361,0.010999004998985
"69","City of San Marino, CA",69,34.122671,-118.112911,21564,21978,22038,22257,22618,22874,13277,1.01919866444073,1.00273000273,1.00993738088756,1.01621961630049,1.01131841895835,0.0118808166634272
"70","City of Santa Clarita, CA",70,34.440891,-118.501748,24036,24753,25018,25287,25589,25790,220424,1.02983025461807,1.01070577303761,1.01075225837397,1.01194289555898,1.00785493766853,0.0142172238514335
"71","City of Santa Fe Springs, CA",71,33.927063,-118.063698,25817,26269,26487,26519,26857,27096,18364,1.0175078436689,1.00829875518672,1.00120813984219,1.01274557864173,1.00889898350523,0.00973186016895378
"72","City of Santa Monica, CA",72,34.013666,-118.49375,36280,37322,37561,37927,38332,38717,92446,1.0287210584344,1.00640372970366,1.00974414951679,1.01067840852163,1.0100438276114,0.0131182347575749
"73","City of Sierra Madre, CA",73,34.168771,-118.050216,26390,26872,27109,27500,27773,28010,10989,1.01826449412656,1.00881958916344,1.0144232542698,1.00992727272727,1.00853346775645,0.0119936156087062
"74","City of Signal Hill, CA",74,33.803448,-118.168135,27600,28355,28567,28923,29168,29423,11797,1.02735507246377,1.00747663551402,1.0124619315994,1.00847076720949,1.00874245748766,0.0129013728548659
"75","City of South El Monte, CA",75,34.05195,-118.04673,26986,27402,27690,27814,27987,28173,20885,1.01541540057808,1.01051018173856,1.00447815095702,1.0062198892644,1.00664594275914,0.00865391305943963
"76","City of South Gate, CA",76,33.956062,-118.205202,29796,30395,30624,30780,31099,31424,98155,1.02010336957981,1.0075341339036,1.00509404388715,1.01036387264457,1.01045049680054,0.0107091833631348
"77","City of South Pasadena, CA",77,34.108957,-118.156615,31808,32633,32887,33370,33716,34000,26053,1.02593687122736,1.00778353200748,1.01468665430109,1.010368594546,1.00842330051014,0.0134397905184152
"78","City of Temple City, CA",78,34.10723,-118.05785,21791,22216,22378,22707,22897,23067,36455,1.01950346473315,1.0072920417717,1.01470193940477,1.00836746377769,1.00742455343495,0.0114578926244506
"79","City of Torrance, CA",79,33.835665,-118.353805,19507,19992,20204,20331,20546,20676,149268,1.02486286973907,1.01060424169668,1.00628588398337,1.01057498401456,1.00632726564781,0.0117310490162981
"80","City of Vernon, CA",80,34.003903,-118.230073,144976,145933,147368,148325,153110,158852,209,1.00660109259464,1.00983327965573,1.00649394712556,1.03226023933929,1.03750244921952,0.0185382015869471
"81","City of Walnut, CA",81,34.0203,-117.8653,18269,18905,19121,19304,19570,19828,30532,1.03481307132301,1.01142554879661,1.00957062915119,1.01377952755906,1.01318344404701,0.0165544441753762
"82","City of West Covina, CA",82,34.066964,-117.937007,24401,24955,25174,25232,25445,25719,108235,1.02270398754149,1.00877579643358,1.00230396440772,1.00844166138237,1.01076832383572,0.0105987467201785
"83","City of West Hollywood, CA",83,34.093828,-118.381697,42443,43677,43934,44356,44832,45181,36951,1.02907428786844,1.00588410376171,1.00960531706651,1.01073135539724,1.00778461812991,0.0126159364447596
"84","City of Westlake Village, CA",84,34.137015,-118.82193,4569,4892,4952,4725,4761,4785,8360,1.07069380608448,1.01226492232216,0.954159935379645,1.00761904761905,1.00504095778198,0.00995573383746229
"85","City of Whittier, CA",85,34.004311,-118.0441,24494,25077,25277,25437,25749,25969,87432,1.0238017473667,1.00797543565817,1.00632986509475,1.01226559735818,1.00854402112703,0.0117833333209676
"86","Los Angeles - Adams-Normandie, CA",86,34.0343,-118.2993,28773,29261,29468,29700,30090,30346,8202,1.01696034476766,1.00707426267045,1.00787294692548,1.01313131313131,1.00850780990362,0.0107093354797054
"87","Los Angeles - Alsace, CA",87,33.9786,-118.4156,25368,25970,26171,26468,26766,26967,12445,1.02373068432671,1.00773969965345,1.01134843911199,1.01125887864591,1.00750952701188,0.0123174457499888
"88","Los Angeles - Angeles National Forest, CA",88,34.3168,-118.0058,15000,15000,15000,15000,17500,17500,40,1,1,1,1.16666666666667,1,0.0333333333333334
"89","Los Angeles - Angelino Heights, CA",89,34.0703,-118.2548,47962,48521,48841,49161,49640,50200,2502,1.01165506025604,1.00659508254158,1.00655187240229,1.00974349586054,1.01128122481869,0.00916534717582707
"90","Los Angeles - Arleta, CA",90,34.2505,-118.4338,33730,34565,34865,35284,35825,36383,34370,1.0247554106137,1.00867929986981,1.01201778287681,1.01533272871557,1.01557571528262,0.0152721874717014
"91","Los Angeles - Atwater Village, CA",91,34.1173,-118.2614,41456,42391,42656,43025,43597,44136,14666,1.02255403319182,1.0062513269326,1.00865060015004,1.01329459616502,1.01236323600248,0.0126227584883913
"92","Los Angeles - Baldwin Hills, CA",92,34.0067,-118.3506,27463,28138,28331,28585,28877,29096,31125,1.02457852383207,1.00685905181605,1.00896544421305,1.01021514780479,1.00758389029331,0.0116404115918547
"93","Los Angeles - Bel Air, CA",93,34.1002,-118.4595,33397,34263,34405,35010,35390,35615,8429,1.02593047279696,1.00414441233984,1.0175846533934,1.01085404170237,1.0063577281718,0.0129742616808746
"94","Los Angeles - Beverly Crest, CA",94,34.1013,-118.4163,32886,34108,34259,34571,35042,35425,12525,1.03715866934258,1.00442711387358,1.00910709594559,1.01362413583639,1.01092974145311,0.015049351290251
"95","Los Angeles - Beverlywood, CA",95,34.0494,-118.3952,37569,38754,38981,39346,39794,40234,13173,1.03154196278847,1.00585745987511,1.00936353608168,1.01138616377777,1.01105694325778,0.0138412131561607
"96","Los Angeles - Boyle Heights, CA",96,34.0298,-118.2117,33588,34207,34394,34731,35104,35621,86884,1.01842920090509,1.00546671733856,1.00979822061988,1.01073968500763,1.01472766636281,0.0118322980467909
"97","Los Angeles - Brentwood, CA",97,34.0521,-118.4732,38692,40081,40333,40824,41383,41858,30955,1.03589889382818,1.00628726828173,1.01217365432772,1.01369292572996,1.0114781431989,0.0159061770732987
"98","Los Angeles - Brookside, CA",98,34.0622,-118.3385,38382,39071,39759,40275,40792,41308,581,1.0179511229222,1.0176089682885,1.01297819361654,1.01283674736189,1.01264953912532,0.0148049142628899
"99","Los Angeles - Cadillac-Corning, CA",99,34.0423,-118.3875,26485,27117,27243,27398,27707,28184,7121,1.02386256371531,1.00464653169598,1.0056895349264,1.01127819548872,1.01721586602664,0.0125385383706111
"100","Los Angeles - Canoga Park, CA",100,34.2083,-118.6059,27564,28274,28464,28800,29149,29547,65289,1.02575823537948,1.00671995472873,1.01180438448567,1.01211805555556,1.0136539846993,0.0140109229697463
"101","Los Angeles - Carthay, CA",101,34.0558,-118.368,43118,44106,44468,44963,45652,46091,14363,1.02291386427942,1.00820750011336,1.01113160025187,1.0153237106065,1.00961622710944,0.0134385804721169
"102","Los Angeles - Central, CA",102,34.0687,-118.3228,31004,31535,31699,31814,32130,32363,38992,1.0171268223455,1.00520057079436,1.00362787469636,1.00993273401647,1.00725178960473,0.00862795829148477
"103","Los Angeles - Century City, CA",103,34.0537,-118.4134,35038,36335,36554,37015,37430,37883,12792,1.03701695302243,1.00602724645658,1.01261147890792,1.01121167094421,1.01210259150414,0.0157939881670575
"104","Los Angeles - Century Palms/Cove, CA",104,0,0,28783,29272,29497,29672,29891,30208,33766,1.01698919501094,1.00768652637333,1.00593280672611,1.00738069560528,1.0106051988893,0.0097188845209919
"105","Los Angeles - Chatsworth, CA",105,34.2506,-118.6148,31049,31758,31982,32363,32805,33186,37061,1.02283487390898,1.00705334089048,1.01191295103496,1.01365757191855,1.01161408321902,0.0134145641943988
"106","Los Angeles - Cheviot Hills, CA",106,34.0403,-118.4042,41130,42351,42700,43212,43648,44128,9171,1.02968636032093,1.00824065547449,1.0119906323185,1.01008978987318,1.01099706744868,0.0142009010871571
"107","Los Angeles - Chinatown, CA",107,34.0623,-118.2383,30981,31929,32178,32490,32776,33175,8021,1.03059939963203,1.00779855303956,1.00969606563491,1.0088027085257,1.01217354161582,0.0138140536896023
"108","Los Angeles - Cloverdale/Cochran, CA",108,0,0,29588,30331,30482,30777,31093,31451,14553,1.02511153170204,1.00497840493225,1.00967784266124,1.01026740747961,1.01151384556009,0.0123098064670473
"109","Los Angeles - Country Club Park, CA",109,34.0503,-118.3212,31169,31895,32112,32310,32706,32951,15153,1.02329237383298,1.00680357422794,1.00616591928251,1.01225626740947,1.00749098024827,0.0112018230002331
"110","Los Angeles - Crenshaw District, CA",110,34.0182,-118.3404,32808,33473,33625,34030,34348,34746,13829,1.02026944647647,1.00454097332178,1.01204460966543,1.0093446958566,1.01158728310236,0.0115574016845279
"111","Los Angeles - Crestview, CA",111,34.0479,-118.3804,37650,38749,38934,39409,39945,40420,11368,1.02918990703851,1.00477431675656,1.01220013355936,1.01360095409678,1.01189135060708,0.0143313324116592
"112","Los Angeles - Del Rey, CA",112,33.986,-118.4249,29490,30285,30549,30866,31240,31641,29936,1.02695829094608,1.0087171867261,1.01037677174376,1.01211689237349,1.01283610755442,0.0142010498687688
"113","Los Angeles - Downtown, CA",113,34.0407,-118.2468,55081,56517,56833,57378,57989,58665,27507,1.02607069588424,1.00559123803457,1.00958949905865,1.01064868067901,1.01165738329683,0.0127114993906601
"114","Los Angeles - Eagle Rock, CA",114,34.1392,-118.2141,38607,39503,39751,40221,40764,41153,39589,1.02320822648742,1.00627800420221,1.01182360192196,1.01350041023346,1.00954273378471,0.0128705953259547
"115","Los Angeles - East Hollywood, CA",115,34.0913,-118.2936,30922,31731,31939,32267,32639,32981,29287,1.02616260267771,1.00655510384167,1.01026957637997,1.01152880652059,1.01047826220166,0.0129988703243207
"116","Los Angeles - Echo Park, CA",116,34.0782,-118.2606,49242,50442,50758,51221,51838,52420,14256,1.02436944072134,1.00626462075255,1.00912171480358,1.0120458405732,1.01122728500328,0.0126057803707886
"117","Los Angeles - El Sereno, CA",117,34.0736,-118.1786,34063,34666,34831,35244,35634,36084,41808,1.01770249244048,1.00475970691744,1.01185725359593,1.0110657133129,1.01262838861761,0.0116027109768739
"118","Los Angeles - Elysian Park, CA",118,34.0838,-118.2366,39023,39811,40109,40249,40511,41036,5712,1.02019321938344,1.00748536836553,1.00349048841906,1.00650947849636,1.01295944311422,0.0101275995557204
"119","Los Angeles - Elysian Valley, CA",119,34.0967,-118.2427,37587,38216,38433,38885,39357,39750,10171,1.01673450927182,1.00567824994767,1.01176072645903,1.01213835669281,1.00998551718881,0.0112594719120287
"120","Los Angeles - Encino, CA",120,34.1517,-118.5214,33507,34568,34834,35210,35639,36091,45172,1.03166502521861,1.00769497801435,1.01079405178848,1.01218403862539,1.01268273520581,0.0150041657705293
"121","Los Angeles - Exposition, CA",121,34.0149,-118.2862,31930,32682,32892,33103,33343,33764,3326,1.0235515189477,1.00642555535157,1.00641493372249,1.00725009817841,1.01262633836187,0.0112536889124082
"122","Los Angeles - Exposition Park, CA",122,34.0149,-118.2862,26767,27422,27620,27871,28141,28424,44917,1.0244704300071,1.00722047990664,1.00908761766836,1.00968748878763,1.01005650119043,0.0121045035120324
"123","Los Angeles - Faircrest Heights, CA",123,34.0476,-118.371,32778,33778,34139,34667,34972,35306,3600,1.03050826774056,1.01068742968796,1.01546618237207,1.008797992327,1.00955049754089,0.0150020739336949
"124","Los Angeles - Figueroa Park Square, CA",124,33.9602,-118.284,29710,30249,30547,30673,30902,31223,8721,1.01814203971727,1.009851565341,1.0041247913052,1.00746584944414,1.010387677173,0.00999438459612145
"125","Los Angeles - Florence-Firestone, CA",125,33.9672,-118.2436,30775,31323,31485,31672,31938,32309,47445,1.01780666125102,1.00517191839862,1.00593933619184,1.00839858550139,1.01161625649696,0.00978655156796515
"126","Los Angeles - Glassell Park, CA",126,34.109,-118.2334,34704,35540,35758,36122,36527,36998,31604,1.02408944213923,1.00613393359595,1.01017954024274,1.01121200376502,1.01289457113916,0.0129018981764204
"127","Los Angeles - Gramercy Place, CA",127,34.0468,-118.3127,29051,29998,30212,30713,31094,31382,10764,1.03259784516884,1.00713380892059,1.01658281477559,1.012405170449,1.00926223708754,0.0155963752803117
"128","Los Angeles - Granada Hills, CA",128,34.2794,-118.5022,29680,30455,30687,31019,31345,31668,58191,1.02611185983828,1.0076177967493,1.01081891354645,1.01050968761082,1.01030467379167,0.0130725863073045
"129","Los Angeles - Green Meadows, CA",129,33.9556,-118.2694,29077,29584,29733,29923,30226,30416,21505,1.0174364618083,1.00503650621958,1.00639020616823,1.01012599004111,1.00628597895851,0.00905502863914576
"130","Los Angeles - Hancock Park, CA",130,34.0723,-118.3287,35888,36763,37009,37402,37901,38359,17039,1.02438140882746,1.00669151048609,1.01061903861223,1.01334153253837,1.01208411387562,0.0134235208679538
"131","Los Angeles - Harbor City, CA",131,33.79002,-118.29785,19742,20251,20437,20561,20808,20943,29070,1.02578259548171,1.00918473161819,1.00606742672604,1.01201303438549,1.00648788927336,0.0119071354969571
"132","Los Angeles - Harbor Gateway, CA",132,33.8405,-118.3024,22463,22952,23108,23204,23413,23580,43600,1.02176913146062,1.00679679330777,1.00415440540073,1.00900706774694,1.00713278947593,0.00977203747839916
"133","Los Angeles - Harbor Pines, CA",133,33.7824,-118.3038,18971,19220,19344,19718,20091,20382,2409,1.01312529650519,1.00645161290323,1.01933416046319,1.01891672583426,1.01448409735703,0.0144623786125799
"134","Los Angeles - Harvard Heights, CA",134,34.0422,-118.3042,25451,26088,26199,26399,26654,26848,18035,1.02502848611057,1.00425482980681,1.00763387915569,1.00965945679761,1.0072784572672,0.0107710218275747
"135","Los Angeles - Harvard Park, CA",135,33.9837,-118.3043,31040,31644,31831,32131,32477,32832,37935,1.0194587628866,1.00590949311086,1.00942477459081,1.01076841679375,1.01093081257505,0.0112984519914134
"136","Los Angeles - Highland Park, CA",136,34.1155,-118.1844,33816,34626,34839,35277,35657,36098,48391,1.02395315826828,1.00615144688962,1.01257211745458,1.01077189103382,1.01236783801217,0.0131632903316925
"137","Los Angeles - Historic Filipinotown, CA",137,34.0703,-118.268,35963,36835,37037,37289,37657,38104,13870,1.02424714289687,1.00548391475499,1.00680400680401,1.00986886213092,1.01187030299811,0.0116548459169799
