"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","Population","diff1","diff2","diff3","diff4","diff5","change1","change2","change3","change4","average"
"261","Unincorporated - Glendora, CA",261,34.119363,-117.855059,18788,19394,19394,19697,19848,20606,660,0.918181818181818,0,0.459090909090909,0.228787878787879,1.14848484848485,0,Inf,0.498349834983498,5.01986754966887,Inf
"262","Unincorporated - Hacienda Heights, CA",262,33.976114,-117.981631,19393,19776,19976,20161,20373,20617,55926,0.00684833530021815,0.00357615420376927,0.00330794263848657,0.00379072345599542,0.00436290812859851,0.522193211488251,0.925,1.14594594594595,1.15094339622642,-0.063979361584847
"263","Unincorporated - Harbor Gateway, CA",263,33.8405,-118.3024,7e+05,8e+05,8e+05,8e+05,8e+05,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Unincorporated - Hawthorne, CA",264,33.914775,-118.348083,23071,23429,23628,23628,23827,23946,2514,0.142402545743835,0.0791567223548131,0,0.0791567223548131,0.0473349244232299,0.55586592178771,0,Inf,0.597989949748744,Inf
"265","Unincorporated - Hi Vista, CA",265,34.735,-117.7773,8652,8743,8743,8925,8925,9290,1098,0.0828779599271403,0,0.165755919854281,0,0.332422586520947,0,Inf,0,Inf,Inf
"266","Unincorporated - Kagel/Lopez Canyons, CA",266,34.2866,-118.4014,39306,41643,41785,42351,42564,43059,1412,1.65509915014164,0.10056657223796,0.400849858356941,0.150849858356941,0.35056657223796,0.0607616602481814,3.98591549295775,0.376325088339223,2.32394366197183,0.686736475879245
"267","Unincorporated - La Crescenta-Montrose, CA",267,34.211341,-118.230652,25701,26302,26468,26731,27029,27292,19801,0.03035200242412,0.00838341497904146,0.0132821574667946,0.0150497449623756,0.0132821574667946,0.276206322795341,1.58433734939759,1.13307984790875,0.88255033557047,-0.0309565360819634
"268","Unincorporated - La Habra Heights, CA",268,33.960846,-117.950619,3107,3254,3254,2219,2219,2219,676,0.217455621301775,0,-1.5310650887574,0,0,0,-Inf,0,NA,NA
"269","Unincorporated - La Rambla, CA",269,33.7409,-118.3038,40096,40578,40771,40771,40964,41157,2075,0.232289156626506,0.0930120481927711,0,0.0930120481927711,0.0930120481927711,0.400414937759336,0,Inf,1,Inf
"270","Unincorporated - La Verne, CA",270,34.10084,-117.76784,23824,24363,24608,24559,24951,25196,2040,0.26421568627451,0.120098039215686,-0.0240196078431373,0.192156862745098,0.120098039215686,0.454545454545455,-0.2,-8,0.625,-2.78011363636364
"271","Unincorporated - Ladera Heights, CA",271,33.9878,-118.3704,33107,33644,33899,34267,34719,35144,7071,0.0759439966058549,0.0360627916843445,0.0520435581954462,0.0639230660444067,0.0601046528072408,0.474860335195531,1.44313725490196,1.22826086956522,0.940265486725664,0.0216309865970931
"272","Unincorporated - Lake Hughes, CA",272,34.67693,-118.44536,22455,22754,23204,23503,23802,24102,668,0.447604790419162,0.673652694610778,0.447604790419162,0.447604790419162,0.449101796407186,1.50501672240803,0.664444444444444,1,1.00334448160535,0.0432014121144556
"273","Unincorporated - Lake Los Angeles, CA",273,34.408383,-118.123597,16115,16631,16908,17023,17246,17485,12994,0.0397106356780052,0.0213175311682315,0.00885023857164845,0.0171617669693705,0.0183931045097737,0.536821705426357,0.415162454873646,1.93913043478261,1.07174887892377,-0.00928413149840543
"274","Unincorporated - Lake Manor, CA",274,34.2408,-118.637,28728,29519,29763,29945,30250,30858,1643,0.481436396835058,0.148508825319537,0.110772976262934,0.185636031649422,0.370054777845405,0.308470290771176,0.745901639344262,1.67582417582418,1.99344262295082,0.180909682222608
"275","Unincorporated - Lennox, CA",275,33.93807,-118.352575,23050,23525,23698,23889,24133,24417,22542,0.0210717771271404,0.00767456303788484,0.00847307248691332,0.0108242391979416,0.0125987046402271,0.364210526315789,1.10404624277457,1.27748691099476,1.16393442622951,-0.0225804734213428
