"","day1.MODIFIED_ZCTA","day1","day2","day3","day4","day5","day6","day7","rate1","rate2","rate3","rate4","rate5","rate6","Average","Location"
"88",11106,9035,9242,9422,9716,9885,10159,10297,1.02291090204759,1.01947630383034,1.03120356612184,1.01739398929601,1.02771876580678,1.01358401417462,0.0220479235461972,"Astoria (South)"
"89",11109,1516,1555,1596,1651,1688,1736,1756,1.02572559366755,1.02636655948553,1.03446115288221,1.02241066020594,1.02843601895735,1.01152073732719,0.0248201204209588,"Long Island City"
"90",11201,18317,18868,19369,20125,20480,21060,21444,1.03008134519845,1.02655289378842,1.03903144199494,1.0176397515528,1.0283203125,1.01823361823362,0.0266432272113715,"Brooklyn Heights/DUMBO/Downtown Brooklyn"
"91",11203,15058,15402,15723,16178,16439,16800,17059,1.0228449993359,1.02084144916245,1.02893849774216,1.01613302015082,1.02195997323438,1.01541666666667,0.0210224343820631,"East Flatbush (North)/East Flatbush (South)"
"92",11204,14839,15128,15459,15905,16159,16451,16696,1.0194757059101,1.02187995769434,1.02885050779481,1.01596982081107,1.01807042515007,1.01489271168926,0.0198565215082751,"Bensonhurst/Mapleton"
"93",11205,10138,10441,10750,11021,11175,11480,11637,1.02988755178536,1.02959486639211,1.02520930232558,1.01397332365484,1.02729306487696,1.01367595818815,0.0232723445371672,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene"
"94",11206,19715,20188,20672,21315,21600,22110,22374,1.02399188435202,1.02397463839905,1.03110487616099,1.01337086558761,1.02361111111111,1.01194029850746,0.0213322790197072,"Williamsburg (South)"
"95",11207,18455,18964,19397,20001,20309,20831,21130,1.02758060146302,1.02283273570977,1.03113883590246,1.0153992300385,1.02570289034418,1.01435360760405,0.0228346501769958,"Cypress Hills/East New York"
"96",11208,18587,19030,19399,19914,20164,20733,21037,1.02383386237693,1.01939043615344,1.02654776019382,1.01255398212313,1.02821860741916,1.01466261515458,0.0208678772368456,"Cypress Hills/East New York"
"97",11209,14972,15341,15646,16251,16602,17093,17369,1.02464600587764,1.01988136366599,1.03866803016745,1.02159867085102,1.02957475003012,1.01614696074416,0.0250859635560654,"Bay Ridge/Fort Hamilton"
"98",11210,13070,13394,13660,14090,14290,14628,14869,1.0247895944912,1.01985963864417,1.03147877013177,1.01419446415898,1.02365290412876,1.01647525293957,0.0217417707490748,"Flatlands/Midwood"
"99",11211,26446,27092,27792,28642,29070,29783,30212,1.0244271345383,1.02583788572272,1.0305843408175,1.0149430905663,1.02452700378397,1.01440419030991,0.0224539409564513,"East Williamsburg/Williamsburg (North)/Williamsburg (South)"
"100",11212,15184,15508,15841,16320,16547,17017,17260,1.02133825079031,1.02147278823833,1.03023799002588,1.01390931372549,1.02840394029129,1.01427983780925,0.021607020146758,"Ocean Hill-Brownsville"
"101",11213,13740,14116,14418,14866,15095,15667,16001,1.027365356623,1.02139416265231,1.03107227077265,1.01540427821875,1.03789334216628,1.02131869534691,0.025741350963316,"Crown Heights (East)"
"102",11214,15992,16357,16699,17289,17641,18070,18372,1.02282391195598,1.02090847955004,1.03533145697347,1.02035976632541,1.02431834929993,1.01671278361926,0.0234091246206805,"Bath Beach/Bensonhurst/Gravesend"
"103",11215,16923,17395,17836,18592,18973,19592,19962,1.02789103586834,1.02535211267606,1.04238618524333,1.02049268502582,1.03262530965056,1.01888525928951,0.0279387646256015,"Gowanus/Park Slope/Windsor Terrace"
"104",11216,13371,13730,14036,14530,14752,15129,15348,1.02684915114801,1.02228696285506,1.0351952123112,1.01527873365451,1.02555585683297,1.01447551060876,0.0232735712350856,"Bedford-Stuyvesant (West)/Crown Heights (West)"
"105",11217,11753,12081,12384,12828,13015,13398,13625,1.02790776822939,1.02508070523963,1.03585271317829,1.01457748674774,1.02942758355743,1.01694282728765,0.0249648473733572,"Boerum Hill/Park Slope"
"106",11218,16324,16680,17030,17561,17913,18431,18690,1.02180838029895,1.02098321342926,1.03118027011157,1.02004441660498,1.02891754591637,1.01405241169768,0.0228310396764675,"Kensington/Windsor Terrace"
"107",11219,20343,20633,21048,21440,21678,22063,22363,1.01425551786855,1.02011341055591,1.01862409730141,1.01110074626866,1.01775994095396,1.0135974255541,0.0159085230837634,"Borough Park"
"108",11220,17939,18455,18949,19571,19915,20374,20649,1.02876414515859,1.02676781360065,1.03282495118476,1.01757702723417,1.02304795380367,1.01349759497399,0.0237465809926378,"Sunset Park"
"109",11221,17881,18383,18771,19472,19745,20276,20562,1.02807449247805,1.02110645705271,1.03734484044537,1.01402013147083,1.0268928842745,1.01410534622213,0.0235906919905988,"Bedford-Stuyvesant (East)/Bushwick"
"110",11222,10923,11154,11398,11747,11914,12241,12432,1.02114803625378,1.0218755603371,1.03061940691349,1.01421639567549,1.02744670135974,1.01560330038396,0.0218182334872601,"Greenpoint"
"111",11223,14583,14948,15340,15978,16235,16643,16953,1.02502914352328,1.02622424404603,1.04159061277705,1.01608461634748,1.02513089005236,1.01862644955837,0.0254476593840944,"Gravesend/Homecrest"
"112",11224,9975,10184,10395,11042,11232,11461,11631,1.02095238095238,1.02071877454831,1.06224146224146,1.01720702771237,1.02038817663818,1.0148329116133,0.0260567889509999,"Brighton Beach/Coney Island/Seagate"
"113",11225,12998,13377,13665,14126,14320,14725,14994,1.02915833205108,1.02152949091725,1.03373582144164,1.01373354098825,1.02828212290503,1.01826825127334,0.0241179265960985,"Crown Heights (West)/Prospect Lefferts Gardens"
"114",11226,21176,21689,22136,22805,23127,23707,24053,1.0242255383453,1.02060952556596,1.03022226237803,1.01411971058978,1.02507891209409,1.01459484540431,0.0214751323962437,"Flatbush/Prospect Lefferts Gardens"
"115",11228,7589,7771,7950,8313,8523,8737,8862,1.02398207932534,1.02303435851242,1.04566037735849,1.02526163839769,1.02510852986038,1.01430697035596,0.0262256589683789,"Bath Beach/Dyker Heights"
"116",11229,14908,15244,15635,16401,16766,17208,17558,1.02253823450496,1.02564943584361,1.04899264470739,1.0222547405646,1.02636287725158,1.02033937703394,0.0276895516510132,"Gerritsen Beach/Homecrest/Sheepshead Bay"
"117",11230,20150,20584,21046,21824,22215,22874,23215,1.02153846153846,1.02244461717839,1.03696664449302,1.01791605571847,1.02966464100833,1.0149077555303,0.0239063625778277,"Midwood"
"118",11231,9377,9581,9770,10174,10414,10775,10961,1.02175535885678,1.0197265421146,1.04135107471853,1.02358954196973,1.0346648742078,1.01726218097448,0.0263915954736511,"Carroll Gardens/Cobble Hill/Red Hook"
"119",11232,6231,6390,6580,6875,7017,7177,7265,1.02551757342321,1.02973395931142,1.04483282674772,1.02065454545455,1.02280176713695,1.01226139055316,0.0259670104378342,"Sunset Park"
"120",11233,13034,13355,13690,14191,14400,14792,15020,1.02462789627129,1.02508423811307,1.03659605551497,1.01472764428159,1.02722222222222,1.01541373715522,0.0239452989263933,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville"
"121",11234,17831,18234,18594,19335,19848,20330,20639,1.02260108799282,1.01974333662389,1.03985156502097,1.02653219550039,1.02428456267634,1.01519921298574,0.0247019934666914,"Bergen Beach/Flatlands/Marine Park/Mill Basin"
"122",11235,16352,16690,17022,17572,17849,18339,18630,1.02067025440313,1.01989215098862,1.03231112677711,1.01576371500114,1.02745251834837,1.01586782267299,0.0219929313652261,"Brighton Beach/Manhattan Beach/Sheepshead Bay"
"123",11236,19056,19498,19883,20486,20802,21417,21727,1.02319479429051,1.01974561493487,1.03032741537997,1.01542516840769,1.02956446495529,1.01447448288743,0.0221219901426271,"Canarsie"
"124",11237,11693,11971,12211,12599,12756,13050,13186,1.02377490806465,1.02004845042185,1.03177462943248,1.01246130645289,1.02304797742239,1.0104214559387,0.0202547879554942,"Bushwick/East Williamsburg"
"125",11238,15618,16006,16365,16982,17252,17784,18082,1.02484312972212,1.02242908909159,1.03770241368775,1.01589918737487,1.03083700440529,1.01675663517769,0.0247445765765493,"Clinton Hill/Prospect Heights"
"126",11239,3530,3614,3681,3764,3807,3873,3917,1.02379603399433,1.01853901494189,1.02254822059223,1.01142401700319,1.01733648542159,1.01136070229796,0.017500745708533,"East New York"
"127",11354,13724,13953,14198,14488,14644,14949,15132,1.01668609734771,1.01755894789651,1.02042541202986,1.01076753175041,1.02082764272057,1.01224162151314,0.0164178755430353,"Flushing/Murray Hill"
"128",11355,15496,15752,16027,16447,16638,16995,17193,1.01652039235932,1.01745810055866,1.02620577775005,1.01161306013255,1.02145690587811,1.01165048543689,0.0174841203525959,"Flushing/Murray Hill/Queensboro Hill"
"129",11356,4775,4861,4982,5120,5192,5305,5386,1.01801047120419,1.02489199753137,1.02769971898836,1.0140625,1.02176425269646,1.01526861451461,0.0202829258224972,"College Point"
"130",11357,8233,8404,8581,8874,9062,9273,9411,1.02077007166282,1.02106139933365,1.03414520452162,1.02118548568853,1.02328404325756,1.01488191523779,0.0225546866169939,"Whitestone"
"131",11358,7436,7598,7763,8008,8157,8375,8519,1.02178590640129,1.02171624111608,1.03155996393147,1.01860639360639,1.02672551183033,1.01719402985075,0.022931341122719,"Auburndale/Murray Hill"
"132",11360,4080,4176,4256,4393,4474,4598,4673,1.02352941176471,1.01915708812261,1.03218984962406,1.01843842476667,1.02771569065713,1.01631143975642,0.0228903174485986,"Bayside (North)"
"133",11361,5607,5748,5848,6052,6149,6312,6431,1.02514713750669,1.01739735560195,1.03488372093023,1.01602775941837,1.02650837534558,1.01885297845374,0.0231362212094277,"Bayside (North)/Bayside (South)"
"134",11362,3628,3723,3792,3935,4008,4125,4203,1.02618522601985,1.01853344077357,1.03771097046413,1.01855146124524,1.02919161676647,1.01890909090909,0.0248469676963905,"Douglaston-Little Neck"
"135",11363,1388,1418,1446,1467,1498,1536,1565,1.02161383285303,1.0197461212976,1.01452282157676,1.02113156100886,1.02536715620828,1.01888020833333,0.0202102835463107,"Douglaston-Little Neck"
"136",11364,6391,6552,6679,6906,7030,7202,7320,1.02519167579409,1.01938339438339,1.03398712382093,1.01795540110049,1.02446657183499,1.01638433768398,0.0228947507696455,"Bayside (South)/Oakland Gardens"
